CLUSTERID1	CLUSTERID2	ComponentIndex	Cosine	DeltaMZ
2784	3688	18	0.9366	0.000
522	2084	18	0.8629	-15.995
2658	3339	18	0.88	-15.995
285	3058	18	0.8978	152.011
1594	1718	18	0.8789	-15.995
563	2959	18	0.8079	152.011
1602	2540	18	0.8054	-17.029
701	4202	18	0.7665	-15.995
867	2784	18	0.869	-0.001
1594	1602	18	0.8646	-15.995
522	2256	18	0.8303	17.027
1333	2959	18	0.7752	-15.995
431	3786	18	0.7482	-33.021
116	2905	18	0.866	0.000
2614	3766	18	0.831	-0.000
116	541	18	0.9243	-0.000
116	2242	18	0.7685	-15.995
681	2084	18	0.7449	-169.074
798	2640	19	0.8984	14.015
635	2700	19	0.9292	28.031
635	1677	19	0.9181	-28.031
1677	3368	19	0.9113	1.031
1729	3448	19	0.8943	105.058
2432	4721	19	0.9109	77.974
1064	1677	19	0.9557	-14.015
3368	4721	19	0.917	27.000
635	4470	19	0.9076	-1.979
1064	4143	19	0.9188	28.031
1677	2640	19	0.9055	16.030
4143	4470	19	0.8877	-15.995
1064	2700	19	0.9483	42.047
635	3489	19	0.9194	14.016
2432	3448	19	0.8942	93.022
798	2700	19	0.9289	54.046
2700	3368	19	0.9236	-55.031
1677	4721	19	0.9224	28.030
2700	4721	19	0.9251	-28.031
2640	4721	19	0.9114	12.000
1677	3799	19	0.9088	1.031
635	4721	19	0.9272	-0.000
2432	3489	19	0.9147	91.990
635	1064	19	0.9408	-14.016
1729	2432	19	0.9201	12.037
2700	4470	19	0.9294	-30.011
3489	4721	19	0.9191	-14.016
3799	4721	19	0.9122	26.999
1064	4721	19	0.9395	14.016
2640	2700	19	0.9191	40.032
2432	3368	19	0.9121	50.974
2640	3489	19	0.9125	26.016
1677	3489	19	0.9357	42.046
2640	3368	19	0.9055	-14.999
3368	3799	19	0.9684	0.001
3489	4470	19	0.9178	-15.995
3368	3489	19	0.915	41.016
1064	3799	19	0.916	-12.983
798	1064	19	0.9196	11.999
2700	3489	19	0.956	-14.016
1064	4470	19	0.9223	12.036
3448	4470	19	0.9129	-17.027
2640	3799	19	0.9029	-14.999
798	4721	19	0.9156	26.015
2261	2640	19	0.8949	21.984
2432	2700	19	0.9258	106.005
3329	3448	19	0.9112	14.016
2432	3329	19	0.8975	79.006
3329	3368	19	0.9075	-28.032
1677	2700	19	0.9411	56.062
1064	2640	19	0.9119	2.015
798	3489	19	0.9157	40.031
798	4470	19	0.9122	24.036
1064	3489	19	0.9342	28.031
798	3799	19	0.9036	-0.984
635	798	19	0.9159	-26.015
635	3799	19	0.8963	-26.999
635	4143	19	0.893	14.016
1677	2432	19	0.9051	-49.944
798	3368	19	0.9036	-0.985
2432	3799	19	0.8943	50.975
798	1677	19	0.9223	-2.015
4855	4867	20	0.8116	24.000
3151	4855	20	0.8535	-2.015
4140	4867	20	0.8424	26.016
2206	4421	21	0.7049	-25.032
2280	4421	21	0.7788	-25.032
2280	4432	21	0.7624	-25.032
4421	4432	21	0.9208	-0.000
2206	4432	21	0.7011	-25.032
2206	2280	21	0.7547	0.000
4028	4123	22	0.902	17.027
4086	4490	22	0.8587	-88.052
2983	4540	22	0.8464	132.078
4028	4294	22	0.8858	-27.000
1272	4345	22	0.896	220.131
2756	4810	22	0.8678	-17.027
3291	4331	22	0.905	-176.105
4123	4345	22	0.8945	132.078
1272	3745	22	0.8946	176.105
1880	2756	22	0.8696	203.103
3745	4123	22	0.9257	-88.053
3947	4086	22	0.9064	-88.052
4123	4161	22	0.9056	-105.079
3745	4294	22	0.9073	-132.079
2653	4540	22	0.8641	-17.026
4294	4331	22	0.9155	-88.053
4086	4237	22	0.8688	132.078
2653	4490	22	0.8675	27.000
4345	4444	22	0.8932	-17.027
1709	2653	22	0.8553	88.052
2653	4475	22	0.8892	-44.027
4018	4540	22	0.8597	88.052
2270	2335	22	0.898	17.027
1272	4028	22	0.8793	71.026
4208	4345	22	0.908	-44.026
2653	4834	22	0.851	-61.053
3947	4444	22	0.8638	88.052
3051	3893	22	0.7129	132.078
2335	4208	22	0.9248	-88.053
3291	3947	22	0.9176	-17.026
1272	4161	22	0.9128	-17.027
4208	4294	22	0.8915	-220.131
3947	4161	22	0.8707	-132.079
3947	4237	22	0.9035	44.026
4540	4834	22	0.886	-44.026
2983	4834	22	0.8566	88.052
3745	4237	22	0.9153	-17.027
4237	4579	22	0.8585	88.051
4444	4579	22	0.8618	44.025
4028	4331	22	0.8771	-115.053
4208	4579	22	0.8923	-17.028
1551	1709	22	0.8103	17.027
2808	2931	22	0.8808	-44.026
2983	4490	22	0.8505	176.104
3745	4345	22	0.9167	44.026
2931	3893	22	0.8592	-44.027
2335	4345	22	0.8976	-132.079
3291	4345	22	0.9054	88.053
4490	4540	22	0.8919	-44.027
3291	4237	22	0.8989	27.000
1272	4208	22	0.8831	264.157
2335	2756	22	0.9046	-44.026
2335	4294	22	0.8761	-308.184
4028	4086	22	0.863	-44.026
4161	4294	22	0.8954	61.053
4028	4237	22	0.8745	88.052
2796	3305	22	0.8024	44.026
3291	4161	22	0.891	-149.105
2808	3893	22	0.8193	-88.053
1272	4331	22	0.9078	-44.027
1880	4208	22	0.8877	159.076
3745	4208	22	0.911	88.052
4490	4834	22	0.885	-88.053
3291	4208	22	0.8996	132.079
2983	4018	22	0.8564	44.026
4086	4161	22	0.8781	-44.027
1880	2335	22	0.8985	247.129
1272	3291	22	0.897	132.078
2270	4810	22	0.8604	-44.026
1272	4294	22	0.9039	44.026
4086	4123	22	0.8817	61.053
4018	4834	22	0.878	44.026
3291	4123	22	0.932	-44.026
3291	3745	22	0.9321	44.027
2335	3745	22	0.8929	-176.105
4123	4331	22	0.9131	-132.079
4123	4294	22	0.9192	-44.026
3745	4444	22	0.8874	26.999
2756	4345	22	0.8861	-88.053
2756	4208	22	0.9083	-44.026
1709	3463	22	0.8028	9.973
3745	4331	22	0.8995	-220.132
4028	4161	22	0.8882	-88.053
4018	4490	22	0.8603	132.079
2796	3893	22	0.7772	88.052
3305	3893	22	0.8296	44.026
4123	4208	22	0.8908	176.105
2931	4490	22	0.839	193.132
4294	4345	22	0.8896	176.105
3051	3305	22	0.7558	88.052
3291	4294	22	0.9254	-88.052
4237	4444	22	0.8808	44.026
1709	4475	22	0.8519	44.025
2796	3051	22	0.7523	-44.027
1272	4123	22	0.9113	88.053
4161	4331	22	0.8887	-27.000
4475	4540	22	0.836	27.000
1272	1880	22	0.8807	105.081
4331	4345	22	0.8818	264.158
4579	4810	22	0.856	44.028
2653	4331	22	0.8699	44.026
2877	2940	23	0.8666	44.026
2877	3969	23	0.825	-88.052
4112	4474	23	0.8467	88.053
3969	4112	23	0.8579	44.026
2877	4474	23	0.8831	44.026
830	4112	23	0.8096	88.052
2940	4112	23	0.8392	-88.053
2940	4474	23	0.8677	-0.000
2877	4112	23	0.8838	-44.026
830	2940	23	0.7902	176.105
830	4474	23	0.7501	176.105
830	2877	23	0.7832	132.078
830	3969	23	0.8155	44.026
2940	3969	23	0.8049	-132.079
3969	4474	23	0.8066	132.079
1296	2359	24	0.9216	0.000
1341	2146	24	0.8903	-73.945
971	2542	24	0.9342	50.052
3857	4512	24	0.8974	-46.042
1341	4625	24	0.9073	-12.000
2350	2542	24	0.9501	-18.011
2542	4159	24	0.9471	-50.052
914	4159	24	0.9232	-31.917
2252	2542	24	0.9188	-15.995
3036	3857	24	0.8929	-62.016
2542	4438	24	0.9556	-6.026
1341	2542	24	0.9392	-15.995
1110	2542	24	0.9637	0.000
1341	2350	24	0.9199	2.016
971	4159	24	0.9438	0.000
2420	3857	24	0.9289	-12.000
2350	4777	24	0.9364	-2.016
3130	4777	24	0.8925	68.062
2252	4625	24	0.8958	-12.001
2029	4512	24	0.8945	-140.032
2330	4024	24	0.9814	-0.000
1341	4777	24	0.9474	-0.000
1341	4512	24	0.9019	-67.990
2359	2542	24	0.9618	-34.006
1341	2252	24	0.8991	0.000
2542	4024	24	0.9632	-20.005
1341	3842	24	0.8927	-35.999
2420	4512	24	0.9318	-58.042
2146	4159	24	0.8846	7.899
3959	4512	24	0.9185	-2.016
2542	4777	24	0.9586	15.995
477	1658	25	0.9359	-191.152
1658	3889	25	0.9612	58.042
477	3783	25	0.9495	41.015
477	4708	25	0.9486	-75.068
3783	4362	25	0.975	-58.042
