CLUSTERID1	CLUSTERID2	ComponentIndex	Cosine	DeltaMZ
784	3111	10	0.7388	-17.026
169	2708	10	0.91	132.079
2566	3163	10	0.9368	14.016
169	3784	10	0.9031	88.053
468	2865	10	0.7643	88.053
336	1645	10	0.8093	88.052
3718	3922	10	0.9081	196.219
1645	2064	10	0.8089	88.053
643	2868	10	0.7462	28.031
2384	4091	10	0.8545	88.052
1409	3711	10	0.8102	-132.079
904	1645	10	0.8021	132.078
2217	4091	10	0.8659	-44.026
1959	4549	10	0.8559	353.242
851	3711	10	0.763	-44.026
1134	1629	10	0.8225	88.052
2384	3953	10	0.8763	220.131
2217	2726	10	0.8767	-88.053
2123	2726	10	0.8434	176.104
2705	2942	10	0.9139	88.052
556	2731	10	0.9069	14.016
2683	2731	10	0.8955	-168.189
336	1623	10	0.7773	188.142
1815	2064	10	0.7663	132.078
2717	4516	10	0.887	0.000
2705	4549	10	0.8552	-220.131
2123	4549	10	0.8531	88.052
2566	3661	10	0.8806	17.027
2673	3922	10	0.9041	182.204
468	3711	10	0.7737	-44.027
169	2731	10	0.8922	-44.026
2865	3711	10	0.7842	-132.079
2217	2942	10	0.8921	132.078
2384	2726	10	0.8677	44.026
1671	2708	10	0.8865	28.031
227	4069	10	0.8342	137.146
1623	1815	10	0.7861	-144.115
468	851	10	0.7968	-0.000
2558	2705	10	0.8523	-325.210
904	1815	10	0.8824	88.053
2683	4101	10	0.9587	44.026
2384	2942	10	0.8647	264.157
2123	4515	10	0.8147	-45.058
3922	4104	10	0.8905	-132.079
2217	4549	10	0.8465	-176.105
1350	1945	11	0.7243	-78.083
1711	4279	12	0.9186	0.000
2973	3645	13	0.8888	2.016
1250	1569	13	0.8317	-28.031
1250	2973	13	0.8151	14.016
2972	3879	14	0.821	26.016
4031	4324	14	0.8619	12.000
2972	4038	14	0.8656	17.027
2972	4324	14	0.8563	12.000
4031	4038	14	0.8598	17.027
2972	4186	14	0.8268	12.000
2972	4031	14	0.9524	0.000
3879	4324	14	0.8584	-14.016
4031	4186	14	0.8404	12.000
4186	4324	14	0.8484	-0.000
3553	4585	15	0.841	-68.062
2135	4525	15	0.7941	56.027
3415	4461	15	0.8238	68.063
3553	3793	15	0.8251	-56.026
4338	4585	15	0.8385	56.027
3415	4585	15	0.8702	-68.062
3415	3793	15	0.8466	-56.026
3840	4222	15	0.7803	56.027
844	1681	15	0.8125	-0.000
3793	3840	15	0.7848	68.062
3415	4222	15	0.7881	68.063
3793	3865	15	0.8246	0.000
3865	4585	15	0.8116	-12.036
4525	4585	15	0.8423	0.000
2135	3865	15	0.8101	68.063
1875	2598	15	0.7836	36.022
4222	4461	15	0.7895	0.000
2017	2135	15	0.8181	-28.031
2135	3415	15	0.7867	124.089
1681	4585	15	0.8338	34.042
2017	2239	15	0.7835	-16.030
3415	4338	15	0.829	-124.089
844	1875	15	0.8238	-18.011
3553	4525	15	0.822	-68.062
3553	3865	15	0.8311	-56.025
844	1331	15	0.8102	-0.000
2239	2360	15	0.8226	-1.980
3793	4338	15	0.8294	-68.063
1331	1681	15	0.8293	-0.000
1331	1875	15	0.8262	-18.011
2135	4338	15	0.8426	-0.000
1681	1875	15	0.9106	-18.011
2239	3415	15	0.7853	112.087
2239	2598	15	0.788	27.995
3415	4525	15	0.8268	-68.062
1681	2449	15	0.8	18.011
2135	4585	15	0.8265	56.027
3793	4585	15	0.8274	-12.036
2239	4525	15	0.7942	44.026
3840	4338	15	0.7815	-136.125
3865	4338	15	0.8205	-68.063
2239	4585	15	0.8279	44.026
1681	2360	15	0.7802	-11.963
2017	4338	15	0.83	-28.031
3553	4222	15	0.8239	68.063
1875	2449	15	0.8019	36.022
3415	3865	15	0.8184	-56.026
1681	4525	15	0.7942	34.042
4338	4525	15	0.8036	56.027
3840	4424	15	0.7946	0.000
3415	3553	15	0.9128	-0.000
2135	3793	15	0.8339	68.063
4585	4804	15	0.8036	24.035
3553	4461	15	0.8022	68.063
3553	4338	15	0.7968	-124.089
3865	4525	15	0.7806	-12.036
4096	4265	16	0.8663	-125.027
1372	3622	17	0.809	12.011
3375	3659	17	0.9165	-15.995
1372	1452	17	0.8612	-46.042
3622	3659	17	0.859	-28.006
1372	2072	17	0.822	0.098
2072	3375	17	0.8425	-0.098
3375	3622	17	0.8106	12.011
1372	3375	17	0.9563	0.000
1372	3659	17	0.8976	-15.995
1452	3375	17	0.8774	46.042
2906	3554	19	0.9431	0.000
271	1656	19	0.8454	0.106
2906	3094	19	0.8752	162.053
1518	2843	19	0.8466	-2.016
1365	4766	19	0.8562	28.032
1246	4388	19	0.8902	179.079
1365	4439	19	0.8631	14.016
375	380	19	0.8904	-0.000
1246	3965	19	0.8942	179.080
524	1246	19	0.9236	-179.080
3650	3852	19	0.9222	14.016
1910	4240	19	0.861	0.000
1060	1714	19	0.852	0.000
3852	4440	19	0.8832	0.000
907	2390	19	0.8703	-32.026
3094	3554	19	0.8804	-162.052
4885	4899	19	0.8714	80.988
1246	1775	19	0.8894	179.080
3965	4885	19	0.8606	-243.042
1470	3424	19	0.8787	-18.010
907	4440	19	0.9017	0.000
1717	3554	19	0.8639	2.016
3094	3965	19	0.8854	179.079
3270	4261	19	0.8488	0.000
1775	4885	19	0.8695	-243.042
375	1631	19	0.8761	-14.016
320	2211	19	0.8653	-226.014
524	4899	19	0.8964	-162.054
1741	3650	19	0.8497	42.010
524	4388	19	0.9171	-0.000
1631	3769	19	0.8556	-60.022
320	1060	19	0.8729	0.000
1327	1656	19	0.8603	18.117
1365	4388	19	0.8483	-46.005
1775	3288	19	0.8462	-0.000
524	3554	19	0.8657	-341.132
1060	1140	19	0.8481	0.000
352	3852	19	0.855	70.078
803	1849	19	0.8541	14.016
3554	3965	19	0.8413	341.132
1775	4899	19	0.8648	-162.054
907	2843	19	0.8418	-18.011
340	4440	19	0.8579	0.000
730	3288	19	0.86	-0.000
1631	3650	19	0.9319	-0.000
352	1470	19	0.8606	-18.011
730	4899	19	0.8728	-162.054
2843	4240	19	0.8566	2.016
730	1246	19	0.9149	-179.080
907	4303	19	0.9234	-18.011
3094	4899	19	0.8694	17.026
730	3965	19	0.8968	0.000
1849	4440	19	0.854	18.011
320	3769	19	0.9317	-0.000
1849	2390	19	0.8643	-14.016
1717	2906	19	0.8705	2.016
524	730	19	0.9331	0.000
1246	3554	19	0.8866	-162.052
1365	2317	19	0.8668	14.016
3094	4885	19	0.8601	-63.962
774	3769	19	0.8416	162.053
375	3852	19	0.8771	-0.000
937	3270	19	0.8498	-0.000
524	3288	19	0.8731	-0.000
108	1656	19	0.9089	0.106
524	3965	19	0.905	0.000
380	3852	19	0.8453	-0.000
803	907	19	0.8928	32.026
803	4440	19	0.9037	32.026
1775	4388	19	0.876	-0.000
1060	2211	19	0.8745	-226.014
4439	4766	19	0.8905	14.016
3852	4766	19	0.8658	-2.016
730	3094	19	0.9032	-179.079
1518	1910	19	0.85	-0.000
320	1714	19	0.8477	0.001
2843	3582	19	0.8439	-0.000
803	1199	19	0.8442	-14.016
1631	3852	19	0.9324	14.015
3046	4766	19	0.888	56.026
1849	4303	19	0.8807	-0.000
524	1775	19	0.9022	0.000
108	271	19	0.8455	0.000
1741	3852	19	0.8653	56.026
730	3554	19	0.8673	-341.132
1573	4766	19	0.8628	0.000
1246	4885	19	0.88	-63.962
108	1327	19	0.8584	-18.011
271	1327	19	0.8512	-18.011
803	4303	19	0.8795	14.016
1573	2317	19	0.8553	-14.016
3094	4388	19	0.8948	179.079
2843	4303	19	0.8739	-0.000
1060	3769	19	0.8801	-0.001
4388	4885	19	0.8655	-243.042
561	1336	19	0.8911	0.000
4240	4261	19	0.8523	18.010
2317	4766	19	0.8566	14.016
4303	4440	19	0.8913	18.011
3852	4261	19	0.8425	2.016
1518	3270	19	0.8664	18.010
340	1656	19	0.849	-73.930
730	4885	19	0.8782	-243.042
1714	3769	19	0.86	-0.001
3288	3965	19	0.8763	0.000
2317	4439	19	0.8526	0.000
937	4261	19	0.8995	0.000
524	4885	19	0.8835	-243.042
730	4388	19	0.8894	-0.000
2720	4766	19	0.8556	-0.000
1775	3094	19	0.8758	-179.079
2198	4440	19	0.8457	0.000
3650	3769	19	0.8533	-60.022
1246	3094	19	0.9227	0.000
340	3582	19	0.9072	-18.011
340	3852	19	0.8598	-0.000
1910	4261	19	0.8481	18.010
320	1631	19	0.8529	60.022
320	3650	19	0.8705	60.022
561	4240	19	0.8421	-0.000
1910	2843	19	0.8721	-2.016
375	3257	19	0.8415	-28.032
1656	3582	19	0.8521	55.920
3650	4766	19	0.8633	12.000
3965	4388	19	0.8993	-0.000
3288	4388	19	0.8574	0.000
524	3094	19	0.9168	-179.079
1246	4899	19	0.8627	17.026
2211	3769	19	0.8646	226.014
730	1775	19	0.8901	0.000
375	3650	19	0.8611	-14.016
380	1017	19	0.86	-26.089
1246	2906	19	0.8802	-162.053
803	2390	19	0.8692	0.000
3288	4885	19	0.8433	-243.042
907	1849	19	0.8873	-18.011
1775	3965	19	0.8665	0.000
4388	4899	19	0.8779	-162.054
3965	4899	19	0.8814	-162.054
4856	4884	20	0.7678	14.015
425	457	21	0.7866	-28.031
345	457	21	0.8074	-45.058
345	998	21	0.778	-0.000
345	2985	21	0.8534	145.025
2985	3497	21	0.8026	-190.084
425	998	21	0.764	17.027
345	1897	21	0.7464	-103.028
998	2985	21	0.7615	145.026
425	3497	21	0.8607	-28.031
457	2985	21	0.7607	190.084
457	998	21	0.7222	45.058
457	3497	21	0.8443	-0.000
345	3497	21	0.8338	-45.058
425	2985	21	0.8202	162.053
345	425	21	0.8447	-17.027
998	3497	21	0.7809	-45.058
425	1897	21	0.7552	-86.001
1897	3497	21	0.76	57.970
3654	3817	22	0.9145	-2.016
3944	4057	22	0.7025	18.011
3654	4376	22	0.8905	-2.017
4057	4376	22	0.8621	-0.001
3817	4057	22	0.8845	-0.000
4057	4709	22	0.73	-18.010
3817	4709	22	0.756	-18.011
3654	4057	22	0.8983	-2.016
3732	4376	22	0.7991	2.015
4376	4709	22	0.7867	-18.010
3317	3654	22	0.8012	45.059
3654	3732	22	0.8527	-4.032
3944	4376	22	0.7026	18.010
3732	3817	22	0.8354	2.016
3817	4376	22	0.9188	-0.001
3732	4057	22	0.8492	2.016
3732	4835	22	0.818	-45.058
2078	2200	25	0.9477	0.000
3618	4250	25	0.9016	-68.027
3460	4361	25	0.9025	-0.036
2874	4004	25	0.9065	187.048
955	2650	25	0.9048	-0.000
20	465	25	0.9106	-17.026
2650	4811	25	0.9382	152.012
125	2332	25	0.9105	28.031
1474	4811	25	0.9259	0.000
2078	4811	25	0.9302	0.000
2650	4092	25	0.911	152.011
2200	4209	25	0.9206	-152.011
2650	4209	25	0.9072	0.000
2332	2650	25	0.911	-122.001
1474	2078	25	0.9249	-0.000
2200	2650	25	0.9518	-152.011
1474	2200	25	0.935	-0.000
955	2078	25	0.9068	152.011
199	331	25	0.9651	152.010
465	1745	25	0.9014	9.001
2874	3460	25	0.9501	0.000
331	1636	25	0.9202	152.011
